'blue chip' share	蓝筹股
'bricks and mortar' investment	房地产投资，有形资产投资
(be) careful with	当心……
(be) faithful to	……对……忠诚的
(be) full of	装满……；充满……
(be) good at	擅长
(be) kind to...	对……友好
(be) late for	迟到
(be) weak in	不擅长
-bound	（构词）被……所束缚的；被……所限制的
...o'clock	……点钟
...times as long as	有……个……长；比……长……倍
...years old	……岁
0K	好的；行
15℃	读作fifteen degrees Celsius
1og	v. 登录；记录
2-way radio	无线电对讲机
3-D	n. 三维，立体，（=three-D）三维，立体
A Christmas Carol	《圣诞欢歌》（小说名）
A rather than B	A而不是B
A.D.	[缩]公元 abbr. 公元
A.M.	(=a.m.)上午
AC adapter	交流电适配器
AD	公元 abbr. 公元（Anno Domini的缩写） n. 公元
AIDS	艾滋病（后天免疫缺损综合症）(Acquired Immune Deficiency Syndrome) n. 艾滋病，艾滋病(Acquired Immune Deficiency Syndrome的缩写，获得性免疫缺陷综合征）
ALU	算术逻辑运算单元
ANC	非国大；非洲人国民大会；非洲民族会议(African National Congress)
ARPANET	阿帕网(美国国防部高级研究计划局建立的计算机网)
ATM	自动柜员机
Aaron	艾伦（人名）
Abigail	n. 阿比盖尔（女名）
Aborigine	n. 澳大利亚土著人
Academy of Arts	艺术学院
Adelaide	阿德莱德（澳大利亚东南部港市，南澳大利亚前首府）
Advanced Research Projects Agency (ARPA)	(美国国防部)高级研究计划局
Afghanistan	n. 阿富汗
Africa	非洲，非洲（地名） n. 非洲
African	adj. 非洲的，非洲的；非洲人的；非洲语言的，非洲（人）的 n.
African American	n. （非洲裔）美国黑人
Agnes Grey	艾格妮斯•格雷（人名，书名）
Ahmed	艾哈迈德（人名）
Ahmed Aziz	n. 艾哈迈德·阿齐兹
Akia	阿卡亚（人名）
Akira Nagata	n. 永田明
Alabama	亚拉巴马州（美国），阿拉巴马州（美国） n. 阿拉巴马州（美国的一个州）
Alan	艾伦（人名），艾伦（男名）
Alan Turing	艾伦•图灵（英国数学家）
Alaska	阿拉斯加州（美国州名） n. 阿拉斯加（州）
Albany	奥尔巴尼
Albert Einstein	艾伯特•爱因斯坦，阿尔伯特•爱因斯坦（德裔美国科学家）
Alberta	阿尔伯塔（地名）
Aldebaran	n. 毕宿五，金牛座中的红色巨星
Alex	亚历克斯（男名）
Alexander Graham Bell	亚历山大·格雷厄姆·贝尔，亚历山大•格雷厄姆•贝尔
Alfred	艾尔弗雷德（男名）
Alice	艾丽斯（女名）
Alice in Wonderland	《爱丽丝梦游仙境》
Alicia	艾丽西娅（人名）
All right.	好的。
Allen	艾伦（姓）
Alps	n. 阿尔卑斯山
Altamira	n. （西班牙北部一地区）阿尔塔米拉
Amazon	亚马逊河，（南美洲大河）亚马孙河 n. 亚马孙河
America	美国；美洲，美洲；美国 n. 美国，美洲
America's Got Talent	美国达人秀（文中为电视节目名称）
American	美国的，美国的；美国人的；美国人，美国人（的），美国人；美国的，美国的；美国人，美国的；美国人的 adj. 美国的，美洲的 n. 美国人
American Idol	美国偶像（文中为电视节目名称）
American Standard Code for Information Interchange(ASCII)	美国信息交换标准码
American Teenage	《美国青少年》（文中为虚构的杂志名称）
American Teenager	《美国青少年》（文中为虚构的杂志名称）
Americanisation	n. 美国化
Amsterdam	n. 阿姆斯特丹（荷兰首都）
Amy	埃米（女名） n. 艾米（女名）
And you?	你呢？
Andrew Hallidie	安德鲁•哈利迪
Andrews	安德鲁斯（姓氏）
Andy	安迪（男名）
Angel Island	天使岛
Angkor Wat	n. 吴哥窟
Angle	n. 盎格鲁人
Anglo-Saxon	adj.  n.
Animal Helpline	动物保护热线
Anna	安娜（女名）
Anna Petrov	安娜•帕特罗夫（女名）
Anne	安（人名）
Anne Sullivan	安妮•沙利文
Annie	安妮（女名）
Antarctic	adj. 南极的 n. 南极洲 n.&adj. 南极（的）
Antarctica	n. 南极洲
Anything else?	还要其他东西吗？
Apatosaurus	雷龙
Applied Linguistics	应用语言学
Apr.	四月（缩写）
April	4月，四月 n. (Apr.)四月，4月，四月
Arab	adj.  n. 阿拉伯人 n.&adj. 阿拉伯人（的）
Arabia	n. 阿拉伯；阿拉伯半岛（亚洲）
Arabic	adj. 阿拉伯的，阿拉伯人的 n. 阿拉伯语
Arctic	adj. 北极的，北极的；北极区的 n. 北极地区，北极，北极区
Arizona	亚利桑那州
Armstrong	阿姆斯特朗（姓）
Aron Ralston	阿伦·罗尔斯顿，阿伦•罗尔斯顿
Arsenal	阿森纳
Art	美术（课），（学科）美术
Arthur	亚瑟，亚瑟（男名）
Arthur Conan Doyle	亚瑟•柯南•道尔（1859—1930，英国医师、小说家、推理小说家，创造了私人侦探福尔摩斯的形象）
Ashrita Furman	阿什里塔•弗曼
Asia	亚洲 n. 亚洲
Asian	adj. 亚洲的，亚洲的；亚洲人的，亚洲（人）的 n.
Atalanta	n. 阿塔兰忒 （希腊神话人物）
Athens	n. 雅典（希腊首都）
Atlantic	n.&adj. 大西洋（的）
Atlantic Ocean	大西洋
Atticus	阿提库斯
Auckland	奥克兰（新西兰北岛西北岸港口城市）
Aug.	八月（缩写）
August	8月，八月 n. (Aug.)八月，8月，八月
Auld Lang Syne	友谊地久天长（苏格兰民歌，通常在新年前夕的午夜，人们围成圈、手挽手地演唱）
Australia	澳大利亚，澳大利亚（地名），澳洲；澳大利亚 n. 澳大利亚
Australian	澳大利亚的；澳大利亚人的；澳大利亚人，澳大利亚的 adj. 澳大利亚的，澳大利亚（人）的 n. 澳大利亚人
Australian football	澳式橄榄球
Austria	n. 奥地利
Austrian	adj. 奥地利的
B.C.	[缩]公元前 abbr. 公元前
BBC	英国广播公司，英国广播公司=British Broadcasting Corporation
BC	公元前，公元前（=before Christ） abbr. 公元前（before Christ的缩写）
Bachelor of Arts	文学学士
Bahmad	巴姆德（姓）
Bangladesh	n. 孟加拉国（亚洲国家）
Barcelona	巴塞罗纳（西班牙东北部港口城市）
Barry Minto	巴里•明托
Be careful!	当心！
Becky	贝姬（女名）
Beijing International School	北京国际学校
Beijing Opera	京剧
Belgium	n. 比利时
Ben	本（人名），本（男名）
Bering Strait	白令海峡
Berlin	柏林（德国城市） n. 柏林（德国首都）
Bert	伯特（男名）
Betsy Trotwood	贝特西•特洛特伍德
Bible	n. 《圣经》，圣经
Big Bang	宇宙大爆炸；创世大爆炸
Big Ben	大本钟，（伦敦）大本钟
Bigfoot	大脚怪 n. 北美野人
Bill	比尔（人名），比尔（男名）
Billy	比利（男名）
Bird's Nest	鸟巢（国家体育场）
BluetoothTM	蓝牙
Bob	鲍勃（人名），鲍勃（男名）
Bosphorous	博斯普鲁斯（地名）
Boston	波土顿，波士顿 n. 波士顿（美国东北部城市）
Brazil	巴西，巴西（南美洲国家） n. 巴西，巴西（南美洲），巴西（拉丁美洲国家），（地名）巴西
Brazilian	adj.  n.
Brian	布赖恩（男名）
Brit	n. 英国人
Britain	(=Great Britain)大不列颠，不列颠；英国，英国，英国（地名） n. 英国；不列颠
British	英国的，英国人的；英国人 adj. 英国的，英国的，英国人的，英国的；英国人的，英国（人）的 n.
Brown	布朗（姓）
Bruce Lee	李小龙（功夫明星）
Brunei	n. 文莱
Buckingham Palace	白金汉宫
Buddha	n. 佛，佛，佛陀，佛；佛像
Buddhism	n. 佛教
Buddhist	adj.  n. 佛教徒
Buford	n. 布福德（姓氏；男名）
Bund	（上海）外滩
Burgundy	勃艮第
Burma	n. 缅甸
CAM	计算机辅助生产
CBA	(China Basketball Association)中国篮球协会（中国职业篮球联赛），中国篮球协会（中国职业篮球联赛） (China Basketball Association)
CBRC	中国银监会(China Banking Regulatory Commission)
CCTV	中国中央电视台
CD	光盘，光盘；激光唱片，唱片，激光唱片，光盘，激光唱片；光盘，激光唱片 abbr. (=compact disc)光盘，激光唱片 n. 光盘，激光唱片 (compact disc的缩写)，光盘，激光唱片（全写为compact disc），激光唱片；光盘
CD recorder	光盘刻录机
CD-R	可写光盘
CD-R drive	可写光盘驱动器
CD-ROM	只读光盘 n. 只读光盘存储器
CD-ROM drive	光驱
CD-RW	可擦写光盘
CD-RW drive	可擦写光盘驱动器
CD-RW/DVD	光盘刻录机／数字通用光盘
CFC	含氯氟烃
CRT monitor	阴极射线管显示器
CV	n. 简历
Caiman	凯门鳄鱼
Cairo	开罗 n. 开罗（埃及首都）
Caius	凯厄斯
Calgary	n. 卡尔加里（加拿大城市）
Cali	卡利（哥伦比亚城市）
California	加利福尼亚 n. （美国）加利福尼亚州，加利福尼亚（州）
Californian	n.&adj. 加利福尼亚（州）人（的）
Cambodia	n. 柬埔寨
Cambodian	n. 柬埔寨人；柬埔寨语
Cambridge Street	剑桥大街
Camelot Park	n. 卡默洛特公园（位于英国）
Can I help you?	我能帮你吗？，我能帮您吗？
Can I...?	我能够……吗？
Canada	加拿大，加拿大（地名） n. 加拿大
Canadian	加拿大的 adj. 加拿大的，加拿大的；加拿大人的，加拿大（人）的 n.
Canberra	堪培拉（地名），堪培拉（澳大利亚首都）
Candy	坎迪（女名）
Cantonese	n.&adj. 广东人（的）；广州人（的）；广东话（的）
Cape Town	开普敦（南非立法首都）
Captain Bligh	布莱船长
Carl	卡尔（男名）
Carla	卡拉（女名） n. 卡拉（女名）
Carmen	卡门（女名）
Carnival	狂欢节
Carol	卡罗尔（女名），卡萝尔（女名）
Caroline	卡罗琳
Casey	凯西（姓）
CatherineⅡ	叶卡捷琳娜二世（俄国女皇）
Catholic	adj. 天主教的 n. 天主教徒
Cathy	凯茜（女名）
Celsius	adj. (温度)摄氏的 n.
Celtic	n. 凯尔特语
Central Asia	中亚
Central Park	中央公园（美国纽约） n. 中央公园（位于美国纽约）
Charles Babbage	查尔斯•巴比奇（英国数学教授）
Charles Dickens	查尔斯·狄更斯（英国作家），查尔斯•狄更斯（英国作家）
Charles Keeling	查尔斯?基林
Charlie Chaplin	查理•卓别林 n. 查理·卓别林（英国喜剧大师）
Charlotte Bronte	夏洛蒂•勃朗特
Chengdu Research Base	成都研究基地
Chiang Mai	清迈（泰国城市）
Chiapas	n. 契亚帕斯（墨西哥之一省）
Chicago	芝加哥
Children's Day	儿童节
Children's Palace	少年宫
Chile	n. 智利（南美洲）
China	中国 n. 中国
China Stock Exchange	中国证券
China Welfare Institute	中国福利基金会
China's Got Talent	中国达人秀（文中为电视节目名称）
Chinatown	唐人街，中国城 n. 唐人街，唐人街；中国城
Chinese	中国人的，中国的，中国的；中国人；中国人的；汉语，中文（课），中文；中文的；中国的；中国人的，汉语，中文；中国的，汉语；语文，语文（课），语文，汉语，语文；中文，（学科）语文，汉语，中国人（的），汉语，中文；语文课，语文；汉语（的） adj.  n.
Chinese New Year	中国农历新年
Chinese New Year's Day	大年初一，春节
Chinese New Year's Eve	大年夜，除夕
Chinese book	语文书
Chinese chess	中国象棋
Chinese fancy knots	中国结
Chinese ink painting	中国水墨画
Chinese knot	n. 中国结
Chinese opera	n. 中国戏曲
Chinese paper-cutting	n. 中国剪纸
Chip Taylor	奇普•泰勒
Chongyang Festival	重阳节
Christ	n. 基督，耶稣基督
Christchurch	克赖斯特彻奇（新西兰南岛东岸港口城市）
Christian	adj. 基督教的 n. 基督徒
Christianity	n. 基督教
Christmas	圣诞节 n. 圣诞节，圣诞节；圣诞节期间
Christmas Dag	圣诞节
Christmas Day	圣诞节
Christmas Eve	圣诞夜，平安夜 n. 圣诞前夕
Christmas tree	圣诞树
Christopher Columbus	克里斯托弗•哥伦布（意大利航海家）
Cinderella	《灰姑娘》
Cindy	辛迪（女名）
Circe	瑟茜（希腊神话女巫，有把人变成猪的法术）
City Mouse	城市老鼠
City Square	城市广场
Civil War	内战
Claire	克莱尔（女名） n. 克莱尔（女名）
Clancy	n. 克兰西（男名）
Clara	克拉拉（女名）
Clark	克拉克（姓；男名）
Claudia	克劳迪娅（女名）
Coke	可乐 n. 可乐
Colobus monkey	（非洲产）疣猴，髯猴
